date,description,usage_gib,cost,nodepool,env
2024-01-23,Network Inter Zone Data Transfer Out,1161.0,10.0,hot-large-spot-local-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,471.0,4.0,kafka-us-east1-b,prod
2024-01-23,Network Inter Zone Data Transfer Out,534.0,4.0,default-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,392.0,3.0,cold-large-spot-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,305.0,3.0,broker-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,283.0,2.0,default-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,196.0,2.0,zk2-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,81.0,1.0,hot-medium-spot-local-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,86.0,1.0,broker-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,115.0,1.0,cold-spot-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,84.0,1.0,rill-small-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,141.0,1.0,mm-spot-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,79.0,1.0,icy-medium-us-east1-d,stage
2024-01-23,Network Inter Zone Data Transfer Out,79.0,1.0,hot-spot-local-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,58.0,0.0,hot-medium-spot-local-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,9.0,0.0,default-highmem-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,51.0,0.0,cold-medium-spot-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,10.0,0.0,zk2-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,16.0,0.0,hot-spot-local-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,5.0,0.0,mm-parallel-us-east1-b,prod
2024-01-23,Network Inter Zone Data Transfer Out,13.0,0.0,rill-large-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,52.0,0.0,cold-medium-spot-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,9.0,0.0,mm-spot-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,30.0,0.0,kafka-us-east1-b,stage
2024-01-23,Network Inter Zone Data Transfer Out,3.0,0.0,cold-large-local-us-east1,prod
2024-01-23,Network Inter Zone Data Transfer Out,52.0,0.0,icy2-large-us-east1-d,prod
2024-01-23,Network Inter Zone Data Transfer Out,7.0,0.0,icy-medium-us-east1-d,prod
2024-01-23,Network Inter Zone Data Transfer Out,43.0,0.0,rill-large-us-east1,stage
2024-01-23,Network Inter Zone Data Transfer Out,7.0,0.0,cold-spot-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,4391.0,36.0,hot-large-spot-local-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,1934.0,16.0,broker-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,1462.0,12.0,cold-large-spot-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,1242.0,10.0,default-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,1105.0,9.0,kafka-us-east1-b,prod
2024-01-22,Network Inter Zone Data Transfer Out,1116.0,9.0,default-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,848.0,7.0,zk2-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,305.0,3.0,broker-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,375.0,3.0,cold-spot-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,191.0,2.0,cold-medium-spot-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,257.0,2.0,mm-spot-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,301.0,2.0,icy-medium-us-east1-d,stage
2024-01-22,Network Inter Zone Data Transfer Out,274.0,2.0,hot-spot-local-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,211.0,2.0,rill-small-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,276.0,2.0,hot-medium-spot-local-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,99.0,1.0,kafka-us-east1-b,stage
2024-01-22,Network Inter Zone Data Transfer Out,77.0,1.0,icy2-large-us-east1-d,prod
2024-01-22,Network Inter Zone Data Transfer Out,86.0,1.0,rill-large-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,130.0,1.0,hot-medium-spot-local-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,118.0,1.0,cold-medium-spot-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,13.0,0.0,cold-large-local-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,25.0,0.0,zk2-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,18.0,0.0,rill-large-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,17.0,0.0,icy-medium-us-east1-d,prod
2024-01-22,Network Inter Zone Data Transfer Out,32.0,0.0,default-highmem-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,20.0,0.0,cold-spot-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,28.0,0.0,hot-spot-local-us-east1,prod
2024-01-22,Network Inter Zone Data Transfer Out,16.0,0.0,mm-spot-us-east1,stage
2024-01-22,Network Inter Zone Data Transfer Out,8.0,0.0,mm-parallel-us-east1-b,prod
2024-01-21,Network Inter Zone Data Transfer Out,1359.0,11.0,broker-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,1140.0,9.0,default-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,1030.0,8.0,kafka-us-east1-b,prod
2024-01-21,Network Inter Zone Data Transfer Out,732.0,6.0,hot-large-spot-local-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,356.0,3.0,cold-large-spot-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,208.0,2.0,default-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,242.0,2.0,mm-spot-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,82.0,1.0,cold-medium-spot-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,133.0,1.0,zk2-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,88.0,1.0,hot-medium-spot-local-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,86.0,1.0,broker-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,107.0,1.0,hot-medium-spot-local-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,24.0,0.0,hot-spot-local-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,8.0,0.0,mm-parallel-us-east1-b,prod
2024-01-21,Network Inter Zone Data Transfer Out,55.0,0.0,icy-medium-us-east1-d,stage
2024-01-21,Network Inter Zone Data Transfer Out,31.0,0.0,cold-medium-spot-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,57.0,0.0,cold-spot-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,6.0,0.0,cold-large-local-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,32.0,0.0,rill-small-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,8.0,0.0,default-highmem-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,40.0,0.0,hot-spot-local-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,59.0,0.0,icy2-large-us-east1-d,prod
2024-01-21,Network Inter Zone Data Transfer Out,37.0,0.0,rill-large-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,23.0,0.0,rill-large-us-east1,stage
2024-01-21,Network Inter Zone Data Transfer Out,15.0,0.0,cold-spot-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,17.0,0.0,icy-medium-us-east1-d,prod
2024-01-21,Network Inter Zone Data Transfer Out,27.0,0.0,zk2-us-east1,prod
2024-01-21,Network Inter Zone Data Transfer Out,31.0,0.0,kafka-us-east1-b,stage
2024-01-21,Network Inter Zone Data Transfer Out,16.0,0.0,mm-spot-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,1131.0,9.0,default-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,1057.0,9.0,kafka-us-east1-b,prod
2024-01-20,Network Inter Zone Data Transfer Out,694.0,6.0,hot-large-spot-local-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,382.0,3.0,cold-large-spot-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,242.0,2.0,broker-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,210.0,2.0,mm-spot-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,210.0,2.0,default-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,98.0,1.0,cold-medium-spot-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,64.0,1.0,cold-spot-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,91.0,1.0,hot-medium-spot-local-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,86.0,1.0,broker-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,64.0,1.0,icy2-large-us-east1-d,prod
2024-01-20,Network Inter Zone Data Transfer Out,153.0,1.0,hot-medium-spot-local-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,133.0,1.0,zk2-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,22.0,0.0,zk2-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,5.0,0.0,cold-large-local-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,31.0,0.0,kafka-us-east1-b,stage
2024-01-20,Network Inter Zone Data Transfer Out,15.0,0.0,cold-spot-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,18.0,0.0,icy-medium-us-east1-d,prod
2024-01-20,Network Inter Zone Data Transfer Out,7.0,0.0,mm-parallel-us-east1-b,prod
2024-01-20,Network Inter Zone Data Transfer Out,30.0,0.0,rill-small-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,25.0,0.0,rill-large-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,53.0,0.0,icy-medium-us-east1-d,stage
2024-01-20,Network Inter Zone Data Transfer Out,34.0,0.0,cold-medium-spot-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,15.0,0.0,mm-spot-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,42.0,0.0,hot-spot-local-us-east1,stage
2024-01-20,Network Inter Zone Data Transfer Out,32.0,0.0,hot-spot-local-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,31.0,0.0,rill-large-us-east1,prod
2024-01-20,Network Inter Zone Data Transfer Out,4.0,0.0,default-highmem-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,2491.0,20.0,hot-large-spot-local-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,1200.0,10.0,default-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,1255.0,10.0,cold-large-spot-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,1070.0,9.0,kafka-us-east1-b,prod
2024-01-19,Network Inter Zone Data Transfer Out,710.0,6.0,default-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,527.0,4.0,broker-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,543.0,4.0,zk2-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,235.0,2.0,hot-medium-spot-local-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,183.0,2.0,icy-medium-us-east1-d,stage
2024-01-19,Network Inter Zone Data Transfer Out,208.0,2.0,broker-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,189.0,2.0,hot-medium-spot-local-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,233.0,2.0,mm-spot-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,242.0,2.0,cold-spot-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,127.0,1.0,cold-medium-spot-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,72.0,1.0,rill-large-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,85.0,1.0,icy2-large-us-east1-d,prod
2024-01-19,Network Inter Zone Data Transfer Out,93.0,1.0,rill-small-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,136.0,1.0,cold-medium-spot-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,179.0,1.0,hot-spot-local-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,67.0,1.0,kafka-us-east1-b,stage
2024-01-19,Network Inter Zone Data Transfer Out,8.0,0.0,mm-parallel-us-east1-b,prod
2024-01-19,Network Inter Zone Data Transfer Out,17.0,0.0,zk2-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,27.0,0.0,rill-large-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,16.0,0.0,default-highmem-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,28.0,0.0,icy-medium-us-east1-d,prod
2024-01-19,Network Inter Zone Data Transfer Out,15.0,0.0,cold-large-local-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,17.0,0.0,mm-spot-us-east1,stage
2024-01-19,Network Inter Zone Data Transfer Out,24.0,0.0,hot-spot-local-us-east1,prod
2024-01-19,Network Inter Zone Data Transfer Out,15.0,0.0,cold-spot-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,3758.0,31.0,hot-large-spot-local-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,1182.0,10.0,default-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,1212.0,10.0,cold-large-spot-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,1124.0,9.0,kafka-us-east1-b,prod
2024-01-18,Network Inter Zone Data Transfer Out,935.0,8.0,default-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,767.0,6.0,zk2-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,698.0,6.0,broker-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,247.0,2.0,mm-spot-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,238.0,2.0,hot-spot-local-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,255.0,2.0,cold-spot-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,255.0,2.0,icy-medium-us-east1-d,stage
2024-01-18,Network Inter Zone Data Transfer Out,284.0,2.0,broker-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,269.0,2.0,hot-medium-spot-local-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,100.0,1.0,rill-small-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,175.0,1.0,cold-medium-spot-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,69.0,1.0,icy2-large-us-east1-d,prod
2024-01-18,Network Inter Zone Data Transfer Out,131.0,1.0,cold-medium-spot-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,148.0,1.0,hot-medium-spot-local-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,78.0,1.0,kafka-us-east1-b,stage
2024-01-18,Network Inter Zone Data Transfer Out,18.0,0.0,icy-medium-us-east1-d,prod
2024-01-18,Network Inter Zone Data Transfer Out,0.0,0.0,middlemanager-us-east1-b,prod
2024-01-18,Network Inter Zone Data Transfer Out,15.0,0.0,cold-large-local-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,16.0,0.0,cold-spot-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,16.0,0.0,zk2-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,17.0,0.0,mm-spot-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,30.0,0.0,hot-spot-local-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,21.0,0.0,default-highmem-us-east1,prod
2024-01-18,Network Inter Zone Data Transfer Out,7.0,0.0,mm-parallel-us-east1-b,prod
2024-01-18,Network Inter Zone Data Transfer Out,42.0,0.0,rill-large-us-east1,stage
2024-01-18,Network Inter Zone Data Transfer Out,21.0,0.0,rill-large-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,3593.0,29.0,hot-large-spot-local-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,1346.0,11.0,cold-large-spot-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,1204.0,10.0,kafka-us-east1-b,prod
2024-01-17,Network Inter Zone Data Transfer Out,1144.0,9.0,broker-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,1152.0,9.0,default-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,896.0,7.0,default-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,789.0,6.0,zk2-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,264.0,2.0,cold-spot-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,237.0,2.0,mm-spot-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,184.0,2.0,cold-medium-spot-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,274.0,2.0,hot-medium-spot-local-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,225.0,2.0,hot-spot-local-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,238.0,2.0,icy-medium-us-east1-d,stage
2024-01-17,Network Inter Zone Data Transfer Out,205.0,2.0,hot-medium-spot-local-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,290.0,2.0,broker-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,81.0,1.0,kafka-us-east1-b,stage
2024-01-17,Network Inter Zone Data Transfer Out,88.0,1.0,rill-small-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,111.0,1.0,cold-medium-spot-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,13.0,0.0,rill-large-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,2.0,0.0,middlemanager-us-east1-b,prod
2024-01-17,Network Inter Zone Data Transfer Out,22.0,0.0,rill-large-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,19.0,0.0,icy-medium-us-east1-d,prod
2024-01-17,Network Inter Zone Data Transfer Out,34.0,0.0,cold-spot-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,7.0,0.0,mm-parallel-us-east1-b,prod
2024-01-17,Network Inter Zone Data Transfer Out,18.0,0.0,mm-spot-us-east1,stage
2024-01-17,Network Inter Zone Data Transfer Out,16.0,0.0,zk2-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,54.0,0.0,icy2-large-us-east1-d,prod
2024-01-17,Network Inter Zone Data Transfer Out,24.0,0.0,default-highmem-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,37.0,0.0,hot-spot-local-us-east1,prod
2024-01-17,Network Inter Zone Data Transfer Out,20.0,0.0,cold-large-local-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,3743.0,31.0,hot-large-spot-local-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,1241.0,10.0,cold-large-spot-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,1143.0,9.0,default-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,1063.0,9.0,kafka-us-east1-b,prod
2024-01-16,Network Inter Zone Data Transfer Out,951.0,8.0,default-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,848.0,7.0,broker-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,842.0,7.0,zk2-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,315.0,3.0,hot-medium-spot-local-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,297.0,2.0,broker-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,258.0,2.0,icy-medium-us-east1-d,stage
2024-01-16,Network Inter Zone Data Transfer Out,249.0,2.0,cold-spot-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,248.0,2.0,mm-spot-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,243.0,2.0,hot-spot-local-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,248.0,2.0,hot-medium-spot-local-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,180.0,1.0,cold-medium-spot-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,81.0,1.0,kafka-us-east1-b,stage
2024-01-16,Network Inter Zone Data Transfer Out,77.0,1.0,icy2-large-us-east1-d,prod
2024-01-16,Network Inter Zone Data Transfer Out,164.0,1.0,cold-medium-spot-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,81.0,1.0,rill-small-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,24.0,0.0,hot-spot-local-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,23.0,0.0,icy-medium-us-east1-d,prod
2024-01-16,Network Inter Zone Data Transfer Out,7.0,0.0,mm-parallel-us-east1-b,prod
2024-01-16,Network Inter Zone Data Transfer Out,19.0,0.0,mm-spot-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,25.0,0.0,default-highmem-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,15.0,0.0,rill-large-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,17.0,0.0,zk2-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,18.0,0.0,cold-spot-us-east1,prod
2024-01-16,Network Inter Zone Data Transfer Out,21.0,0.0,rill-large-us-east1,stage
2024-01-16,Network Inter Zone Data Transfer Out,13.0,0.0,cold-large-local-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,3289.0,27.0,hot-large-spot-local-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,2324.0,19.0,cold-large-spot-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,1772.0,15.0,icy2-large-us-east1-d,prod
2024-01-15,Network Inter Zone Data Transfer Out,1296.0,11.0,default-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,877.0,7.0,kafka-us-east1-b,prod
2024-01-15,Network Inter Zone Data Transfer Out,815.0,7.0,default-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,528.0,4.0,broker-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,542.0,4.0,zk2-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,405.0,3.0,rill-small-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,300.0,2.0,hot-medium-spot-local-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,194.0,2.0,broker-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,258.0,2.0,rill-large-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,235.0,2.0,mm-spot-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,221.0,2.0,hot-spot-local-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,212.0,2.0,icy-medium-us-east1-d,stage
2024-01-15,Network Inter Zone Data Transfer Out,109.0,1.0,hot-medium-spot-local-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,102.0,1.0,default-highmem-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,83.0,1.0,cold-large-local-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,119.0,1.0,cold-medium-spot-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,150.0,1.0,cold-spot-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,137.0,1.0,cold-medium-spot-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,85.0,1.0,kafka-us-east1-b,stage
2024-01-15,Network Inter Zone Data Transfer Out,14.0,0.0,rill-large-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,15.0,0.0,zk2-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,24.0,0.0,hot-spot-local-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,13.0,0.0,cold-spot-us-east1,prod
2024-01-15,Network Inter Zone Data Transfer Out,7.0,0.0,mm-parallel-us-east1-b,prod
2024-01-15,Network Inter Zone Data Transfer Out,23.0,0.0,mm-spot-us-east1,stage
2024-01-15,Network Inter Zone Data Transfer Out,41.0,0.0,icy-medium-us-east1-d,prod
2024-01-14,Network Inter Zone Data Transfer Out,5128.0,42.0,icy2-large-us-east1-d,prod
2024-01-14,Network Inter Zone Data Transfer Out,1140.0,9.0,default-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,702.0,6.0,kafka-us-east1-b,prod
2024-01-14,Network Inter Zone Data Transfer Out,789.0,6.0,default-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,602.0,5.0,hot-large-spot-local-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,491.0,4.0,rill-small-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,328.0,3.0,cold-large-spot-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,382.0,3.0,broker-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,201.0,2.0,hot-spot-local-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,269.0,2.0,hot-medium-spot-local-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,192.0,2.0,rill-large-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,219.0,2.0,mm-spot-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,254.0,2.0,zk2-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,293.0,2.0,icy-medium-us-east1-d,stage
2024-01-14,Network Inter Zone Data Transfer Out,74.0,1.0,kafka-us-east1-b,stage
2024-01-14,Network Inter Zone Data Transfer Out,114.0,1.0,cold-medium-spot-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,107.0,1.0,cold-medium-spot-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,84.0,1.0,hot-medium-spot-local-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,65.0,1.0,cold-spot-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,96.0,1.0,broker-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,7.0,0.0,default-highmem-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,6.0,0.0,mm-parallel-us-east1-b,prod
2024-01-14,Network Inter Zone Data Transfer Out,19.0,0.0,mm-spot-us-east1,stage
2024-01-14,Network Inter Zone Data Transfer Out,13.0,0.0,cold-spot-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,50.0,0.0,icy-medium-us-east1-d,prod
2024-01-14,Network Inter Zone Data Transfer Out,13.0,0.0,cold-large-local-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,15.0,0.0,zk2-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,13.0,0.0,rill-large-us-east1,prod
2024-01-14,Network Inter Zone Data Transfer Out,19.0,0.0,hot-spot-local-us-east1,prod
2024-01-13,Network Inter Zone Data Transfer Out,5107.0,42.0,icy2-large-us-east1-d,prod
2024-01-13,Network Inter Zone Data Transfer Out,1153.0,9.0,default-us-east1,prod
2024-01-13,Network Inter Zone Data Transfer Out,681.0,6.0,kafka-us-east1-b,prod
2024-01-13,Network Inter Zone Data Transfer Out,629.0,5.0,default-us-east1,stage
2024-01-13,Network Inter Zone Data Transfer Out,551.0,5.0,hot-large-spot-local-us-east1,prod
2024-01-13,Network Inter Zone Data Transfer Out,354.0,3.0,cold-large-spot-us-east1,prod
2024-01-13,Network Inter Zone Data Transfer Out,321.0,3.0,hot-medium-spot-local-us-east1,stage
